Version Number,File Name,NumberRevisions,NumberAuthors,LOC,AGE,CHURN,LOC_TOUCHED,Avg_LOC_Added,MaxLocAdded,Avg_Chg_Set,Max_Chg_Set,numImports,numComments,Buggy
01,src/jvm/backtype/storm/Config.java,1,1,799,79,5,5,5,5,6,6,7,421,No
01,src/jvm/backtype/storm/StormSubmitter.java,1,1,130,53,6,6,6,6,1,1,10,17,No
01,src/jvm/backtype/storm/drpc/DRPCSpout.java,1,1,154,15,0,1,0,0,1,1,19,0,No
01,src/jvm/backtype/storm/messaging/IConnection.java,1,1,10,0,10,10,10,10,6,6,1,0,No
01,src/jvm/backtype/storm/messaging/IContext.java,1,1,11,0,11,11,11,11,6,6,1,0,No
01,src/jvm/backtype/storm/messaging/ITransport.java,1,1,5,0,5,5,5,5,6,6,0,0,No
01,src/jvm/backtype/storm/messaging/TaskMessage.java,1,1,19,0,19,19,19,19,6,6,0,0,No
01,src/jvm/backtype/storm/messaging/TransportFactory.java,1,1,32,0,32,32,32,32,6,6,4,5,No
01,src/jvm/backtype/storm/metric/api/CountMetric.java,4,1,24,13,0,4,0,0,2,2,4,0,No
01,src/jvm/backtype/storm/metric/api/MultiCountMetric.java,4,1,28,11,0,4,0,0,2,2,12,0,No
01,src/jvm/backtype/storm/task/ShellBolt.java,1,1,223,79,2,2,2,2,2,2,17,32,No
01,src/jvm/backtype/storm/topology/BasicBoltExecutor.java,5,1,47,59,0,5,0,0,1,1,25,0,No
01,src/jvm/backtype/storm/utils/ShellProcess.java,1,1,130,56,16,20,18,18,2,2,13,2,No
01,src/jvm/backtype/storm/utils/Utils.java,3,2,364,85,10,27,3,11,1,2,96,21,No
01,src/jvm/storm/kafka/PartitionManager.java,1,1,144,4,0,8,0,0,2,2,15,5,No
01,src/jvm/storm/kafka/ZkCoordinator.java,1,1,156,4,0,1,0,0,2,2,17,2,No
01,src/jvm/storm/kafka/trident/MaxMetric.java,1,1,20,0,2,2,2,2,1,1,2,0,No
01,src/jvm/storm/trident/state/map/NonTransactionalMap.java,1,1,49,1,-1,3,0,0,1,1,3,0,No
01,src/jvm/storm/trident/testing/MockTridentTuple.java,1,1,149,2,149,149,149,149,1,1,6,3,No
01,src/jvm/storm/trident/topology/state/RotatingTransactionalState.java,1,1,130,40,3,12,3,3,2,2,6,5,No
01,src/main/java/backtype/storm/contrib/jms/bolt/JmsBolt.java,2,1,197,3,0,6,0,0,1,1,34,160,No
01,storm-core/src/jvm/backtype/storm/Config.java,2,2,952,29,18,18,9,12,2,3,16,904,No
01,storm-core/src/jvm/backtype/storm/metric/LoggingMetricsConsumer.java,1,1,55,1,55,55,55,55,1,1,8,13,No
01,storm-core/src/jvm/backtype/storm/metric/api/IStatefulObject.java,3,2,5,8,15,15,5,5,3,3,0,0,No
01,storm-core/src/jvm/backtype/storm/metric/api/StateMetric.java,3,2,14,8,42,42,14,14,3,3,0,0,No
01,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,1,1,228,29,5,5,5,5,2,2,18,32,No
01,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,3,2,165,22,66,69,22,22,3,3,51,36,No
01,storm-core/src/jvm/storm/trident/state/OpaqueValue.java,1,1,58,14,0,8,0,0,1,1,1,0,No
01,storm-core/src/jvm/storm/trident/testing/FixedBatchSpout.java,1,1,80,12,5,19,5,5,1,1,9,0,No
01,storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java,4,2,205,25,-1,70,0,2,1,3,72,152,No
01,storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java,1,1,120,22,0,7,0,0,3,3,16,23,No
02,storm-core/src/jvm/storm/trident/util/TridentUtils.java,1,1,142,41,10,12,10,10,1,1,17,20,Yes
03,external/storm-kafka/src/jvm/storm/kafka/Broker.java,1,1,81,2,1,3,2,2,18,18,2,17,No
03,external/storm-kafka/src/jvm/storm/kafka/BrokerHosts.java,1,1,25,2,0,1,0,0,18,18,1,17,No
03,external/storm-kafka/src/jvm/storm/kafka/DynamicBrokersReader.java,1,1,147,2,2,7,3,3,18,18,13,34,No
03,external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java,1,1,52,2,2,2,2,2,18,18,3,19,No
03,external/storm-kafka/src/jvm/storm/kafka/KafkaSpout.java,1,1,195,2,0,13,0,0,18,18,11,22,No
03,external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java,1,1,243,2,2,13,3,3,18,18,24,18,No
03,external/storm-kafka/src/jvm/storm/kafka/KeyValueSchemeAsMultiScheme.java,1,1,37,2,1,1,1,1,18,18,3,17,No
03,external/storm-kafka/src/jvm/storm/kafka/PartitionCoordinator.java,1,1,28,2,2,2,2,2,18,18,1,17,No
03,external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java,3,2,265,9,-12,113,5,16,6,18,51,69,No
03,external/storm-kafka/src/jvm/storm/kafka/StaticCoordinator.java,1,1,51,2,3,3,3,3,18,18,4,17,No
03,external/storm-kafka/src/jvm/storm/kafka/StringScheme.java,1,1,46,2,0,1,0,0,18,18,5,17,No
03,external/storm-kafka/src/jvm/storm/kafka/ZkCoordinator.java,1,1,113,2,0,2,0,0,18,18,5,19,No
03,external/storm-kafka/src/jvm/storm/kafka/ZkHosts.java,1,1,36,2,0,1,0,0,18,18,0,18,No
03,external/storm-kafka/src/jvm/storm/kafka/ZkState.java,1,1,116,2,0,1,0,0,18,18,13,17,No
03,external/storm-kafka/src/jvm/storm/kafka/trident/GlobalPartitionInformation.java,1,1,98,2,-1,3,1,1,18,18,5,18,No
03,external/storm-kafka/src/jvm/storm/kafka/trident/TransactionalTridentKafkaSpout.java,1,1,58,2,0,1,0,0,18,18,6,17,No
03,external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java,1,1,268,2,-1,1,0,0,18,18,24,43,No
03,external/storm-kafka/src/jvm/storm/kafka/trident/ZkBrokerReader.java,1,1,70,2,0,33,0,0,18,18,5,18,No
03,external/storm-kafka/src/test/storm/kafka/KafkaTestBroker.java,3,3,70,3,38,64,14,20,2,3,31,12,No
03,external/storm-kafka/src/test/storm/kafka/KafkaUtilsTest.java,2,2,225,3,0,12,0,0,3,3,40,0,No
03,external/storm-kafka/src/test/storm/kafka/ZkCoordinatorTest.java,2,2,130,3,0,2,0,0,3,3,28,4,No
03,storm-core/src/jvm/backtype/storm/Config.java,9,3,987,59,44,111,8,19,8,17,72,4321,No
03,storm-core/src/jvm/backtype/storm/ConfigValidation.java,1,1,155,40,17,17,17,17,2,2,1,57,No
03,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,5,3,49,59,34,58,8,10,14,17,5,170,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,14,4,337,25,57,1060,9,28,6,17,279,682,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,7,3,112,25,120,197,19,24,10,17,91,217,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/ControlMessage.java,4,2,69,25,8,16,2,2,17,17,16,112,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/MessageBatch.java,4,2,136,25,20,20,5,5,17,17,20,188,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java,5,3,115,25,-59,361,4,5,14,17,35,215,No
