Dataset,# Training,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
STORM,2,NaiveBayes,NaN,0.0,0.9285714285714286,0.0
STORM,2,RandomForest,0.0,0.0,0.75,-0.01574803149606037
STORM,2,IBk,0.5,0.3333333333333333,0.7777777777777778,0.3886255924170606
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,RF,No sampling,False,0.9761904761904762,1.0,0.0,0.023809523809523808,0.9761904761904762,0.9761904761904762,0.9761904761904762,-0.023809523809522296
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,IBk,No sampling,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,NB,No sampling,False,1.0,1.0,0.0,0.0,0.9767441860465116,1.0,0.5,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,RF,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.6190476190476191,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,IBk,Under sampling,False,0.38095238095238093,0.0,1.0,0.6190476190476191,1.0,0.38095238095238093,0.6904761904761905,0.02782608695652169
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,NB,Under sampling,False,0.5714285714285714,0.0,1.0,0.42857142857142855,1.0,0.5714285714285714,0.5714285714285714,0.058394160583941694
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,RF,Over sampling,False,0.9761904761904762,1.0,0.0,0.023809523809523808,0.9761904761904762,0.9761904761904762,0.9761904761904762,-0.023809523809522296
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,IBk,Over sampling,False,0.9761904761904762,0.0,1.0,0.023809523809523808,1.0,0.9761904761904762,0.9880952380952381,0.6559999999999996
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,NB,Over sampling,False,1.0,1.0,0.0,0.0,0.9767441860465116,1.0,0.5,0.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,RF,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0
STORM,2,0.4266666666666667,0.03125,0.023255813953488372,IBk,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0
